CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP%,DTH,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Lissandra,Middle,349,35.8,37.9,75,55.9,33,2.4,2.5,6.6,3.6,70.4,21.9,0.74,14.9,5.2,68,64,2.6,8.8,403,23.1,260.9,22.3
Lissandra,Support,3,0.3,37.9,75,33.3,40.4,1.3,3.7,7.7,2.5,64.3,23.9,0.73,-,-,-,-,-,-,-,-,-,-
Lucian,Middle,6,0.6,46.1,72.3,66.7,36.4,2.8,1.5,4,4.6,59.4,17.3,0.55,0,0,243,-10,19.8,9.2,500,29.1,281.2,23.5
Lucian,Top,7,0.7,46.1,72.3,28.6,34.3,1.7,2.7,2,1.4,41.9,17.4,0.71,14.3,14.3,-39,-14,11.7,9.2,462,26.3,262.7,25.7
Lucian,ADC,243,24.9,46.1,72.3,43.6,33.2,3,1.9,4.6,3.9,63.5,15.6,0.73,16.9,4.9,20,60,2.6,9.7,461,26.4,296.9,25.9
Lulu,Middle,13,1.3,1.4,3.2,30.8,32.9,1,1.9,4,2.6,71.4,16,0.58,23.1,7.7,87,13,2.6,7.7,285,21,201.6,20.9
Lulu,Support,4,0.4,1.4,3.2,25,34.3,0.8,2,3.5,2.1,60.7,17.8,0.53,25,25,-344,100,-17.5,0.4,103,6.9,90.8,9.3
Lux,Middle,2,0.2,0,0.3,100,34.1,3,1,12,15,78.9,12.5,0.79,0,0,405,384,7,8.6,507,30.7,271.5,22.1
Lux,Support,1,0.1,0,0.3,0,29.1,0,2,4,2,100,14.3,0.62,100,0,-536,-38,-59,0.4,217,17.7,83.9,9.1
Malphite,Top,5,0.5,0.2,0.7,60,39.4,4.8,1.6,6.2,6.9,61.1,12.3,0.79,20,0,-265,164,-9.3,7.1,438,23.8,238.6,21.2
Malzahar,Middle,4,0.4,0.1,0.5,25,34.4,1.8,3.8,6.3,2.1,74.4,21.4,0.82,0,25,-363,-202,-15,8.4,488,29.7,235.3,25.9
Maokai,Top,2,0.2,0,0.2,0,28.7,0,3,1.5,0.5,50,21.4,0.59,0,0,-970,165,-6,7.3,314,26,152.7,19.6
Miss Fortune,ADC,2,0.2,0,0.2,50,33.8,4,3,3.5,2.5,55.6,20,0.84,50,0,-400,-692,-11.5,9.8,526,24.4,307.2,27.4
Morgana,Middle,17,1.7,13.7,23.5,47.1,34,2.4,1.6,5.6,5,73.1,15.3,0.62,5.9,0,-188,-96,-6.9,8,440,28.1,232.9,21.1
Morgana,ADC,6,0.6,13.7,23.5,50,29.2,1.3,2.7,7.7,3.4,70.1,23.2,0.83,50,0,-134,484,3.2,7.8,374,21.9,227,19.8
Morgana,Support,72,7.4,13.7,23.5,51.4,32.7,0.8,2.7,8.7,3.5,75.3,21.9,0.76,11.1,6.9,-84,29,-8.1,0.5,189,10.8,115.7,10
Nami,Support,3,0.3,0,0.3,33.3,33.1,0.7,2.3,3.3,1.7,60,18.9,0.57,0,33.3,-251,-141,-6,0.5,85,8.1,73.1,7
Nautilus,Middle,6,0.6,1.3,4.3,50,28.5,0.7,2.8,6.8,2.6,65.2,21.8,0.86,0,16.7,89,275,11.5,7.3,285,18,200.2,18.9
Nautilus,Top,1,0.1,1.3,4.3,100,39.7,4,1,10,14,87.5,12.5,0.6,100,0,144,-277,-16,4.7,280,14.9,195.1,17.1
Nautilus,Support,22,2.3,1.3,4.3,36.4,31.3,1,3.6,6.8,2.1,64.8,24.7,0.85,27.3,13.6,64,-81,1.6,2.1,161,10,123.6,11
Neeko,ADC,28,2.9,6.8,12.2,46.4,32.4,3.6,2.4,4.9,3.6,68.2,17.8,0.79,3.6,0,-58,68,3.4,9.2,502,26.8,290.6,25.1
Neeko,Top,22,2.3,6.8,12.2,59.1,34,2.8,3.3,4,2.1,51.2,23.5,0.8,9.1,13.6,303,66,5.3,8.3,438,23.8,265.6,22.6
Neeko,Middle,3,0.3,6.8,12.2,33.3,30.6,2.3,1.7,4.3,4,64.5,12.8,0.76,0,0,193,-32,11,10.8,415,20.5,301.1,20.9
Nidalee,Jungle,12,1.2,3.3,4.5,41.7,29.5,4,3.8,4.1,2.1,73.5,27.1,0.85,25,0,846,650,13.7,6.3,450,22.6,255.8,22.2
Nocturne,Jungle,114,11.7,21.1,32.8,45.6,33.8,2.5,2.4,5.3,3.2,64.3,20.3,0.71,21.9,4.4,-6,42,0.1,5.2,237,13.8,195.3,17.3
Nunu,Jungle,6,0.6,0.1,0.7,33.3,31.5,0.7,3.5,5.5,1.8,63.8,24.4,0.76,50,16.7,-348,-363,-4.3,4.5,131,8,159.8,14.8
Olaf,Top,1,0.1,21.9,39.3,100,22.2,6,1,4,10,52.6,16.7,1.13,0,0,740,606,20,8.8,746,33.9,371.3,25
Olaf,Jungle,168,17.2,21.9,39.3,51.2,33.1,2.2,2.1,5.7,3.7,66.4,18.8,0.7,18.5,6.5,97,142,5,5.2,249,14.4,186,16.5
Orianna,Middle,43,4.4,1.2,5.6,48.8,33.9,2.5,1.8,4.9,4.1,69.1,16.8,0.63,9.3,14,-81,-61,0.7,9.2,440,27.7,269.7,24.4
Ornn,Top,27,2.8,1.7,6.2,40.7,32.4,1.6,2.6,5.3,2.6,61.7,21.8,0.72,11.1,7.4,-327,-99,-9.4,7,277,17.3,210.3,18.9
Ornn,Support,16,1.6,1.7,6.2,31.3,30.5,0.6,2.8,6.7,2.6,72.7,21.6,0.75,25,12.5,198,47,5.5,2.1,204,12,173.8,14.7
Pantheon,Jungle,2,0.2,0,0.4,100,26.1,3,2.5,8,4.4,64.7,38.5,0.9,100,0,427,-75,-1.5,5.9,351,17,245.5,18.4
Pantheon,Support,2,0.2,0,0.4,0,34.5,1.5,3,3.5,1.7,66.7,20,0.65,50,0,1455,886,72,4.8,252,18.8,190.4,18.1
Poppy,Top,45,4.6,2.6,7.7,64.4,33,2.2,1.9,5.9,4.2,56,16.7,0.79,4.4,2.2,-128,21,-7.3,7.6,377,21.3,243.3,20.9
Poppy,Jungle,5,0.5,2.6,7.7,40,33.2,1.4,2.4,4.8,2.6,72.1,21.8,0.59,0,20,-678,-568,-12,4.1,98,8.2,113.8,12.7
Pyke,Top,3,0.3,0.7,3,100,31.3,8.3,3,4.3,4.2,60.3,27.3,1.02,33.3,33.3,-692,-37,-13,6.6,366,18.6,283.2,21.1
Pyke,Support,18,1.8,0.7,3,61.1,33,3.5,2.7,6.1,3.5,60.9,22.9,0.84,27.8,0,79,-189,-6.1,1.8,177,9.2,166.9,13.6
Pyke,ADC,1,0.1,0.7,3,0,36.4,10,6,5,2.5,75,19.4,1.4,-,-,-,-,-,-,-,-,-,-
Rakan,Jungle,1,0.1,13.5,26.8,100,24.9,0,2,20,10,83.3,28.6,1.24,100,0,-1017,-1311,-52,0.8,195,9.9,185.2,12.5
Rakan,Support,128,13.1,13.5,26.8,61.7,32.7,0.8,2.4,8.9,4.1,76.2,22.4,0.71,19.5,6.3,-138,-6,-10.4,0.6,148,8.3,116.2,9.9
Rek'Sai,Jungle,196,20.1,18.8,38.9,50.5,33.1,3.1,3,5,2.7,64.9,23.2,0.77,33.7,7.7,194,146,2.9,5.3,276,15.5,210.8,18
Renekton,Middle,4,0.4,2.9,8,50,28.2,3.5,3.3,4,2.3,54.5,22.8,0.99,0,0,-211,190,3,7.2,358,20.7,206.6,21.5
Renekton,Top,46,4.7,2.9,8,56.5,31.3,2.4,2.5,3.9,2.5,50,22.1,0.77,2.2,2.2,79,101,2.6,8.5,357,20.3,253.1,22.2
Rengar,Jungle,1,0.1,0,0.1,0,36.5,0,2,1,0.5,50,18.2,0.36,0,0,-30,234,4,4.6,140,9.5,131.1,13.9
Riven,Top,20,2.1,2.8,5.9,65,34.2,3.3,1.9,3.9,3.8,60.4,20.6,0.61,0,20,-416,-139,-6.4,9,315,21.1,290,24.9
Riven,Middle,3,0.3,2.8,5.9,33.3,26,2.7,1.7,3,3.4,63,15.6,0.76,0,0,-350,-101,-20,7.7,303,21,257.7,29.4
Riven,Jungle,8,0.8,2.8,5.9,25,33.6,2.5,3.6,4.5,1.9,70.9,24.2,0.74,0,25,-646,-586,-6.5,4.8,151,10.9,171.9,16.7
Rumble,Top,12,1.2,0.6,2.1,16.7,33.4,1.6,3.3,3.4,1.5,60.6,22.7,0.67,8.3,0,3,52,0.3,7.8,510,31.1,219.8,21.4
Rumble,Middle,2,0.2,0.6,2.1,50,29.9,0.5,2.5,5,2.2,73.3,26.3,0.57,0,0,-183,130,-6,7.7,431,36.2,207.3,20.8
Ryze,Middle,137,14.1,30.4,52.8,41.6,32.2,2.8,2.6,3.8,2.5,62.3,19.5,0.75,9.5,3.6,-117,-69,-0.8,9.4,436,26.5,281.7,24.7
Ryze,Top,82,8.4,30.4,52.8,37.8,34.2,2.1,3,3.2,1.8,52.6,22.3,0.69,12.2,13.4,-53,-72,0.7,9.1,428,24.8,268.6,23.9
Sejuani,Top,2,0.2,7.8,21,50,37.4,1.5,2.5,5,2.6,54.2,13.9,0.8,50,0,549,428,13,7.6,571,26.4,254,22.4
Sejuani,Jungle,124,12.7,7.8,21,47.6,32.9,1.3,2.1,6.4,3.7,71.4,18.1,0.67,25,3.2,-134,-102,-3.7,4.9,192,11.8,178.5,16
Sejuani,Support,3,0.3,7.8,21,33.3,29.3,1.3,1.7,3.3,2.8,70,12.5,0.68,0,0,123,96,2,2,65,8.4,151.7,15.7
Shen,Top,4,0.4,1.4,5.2,25,37,3.8,3,8,3.9,77,15.2,0.95,50,0,-265,-228,-2,6.6,295,14.4,217.4,19.2
Shen,Support,33,3.4,1.4,5.2,57.6,33.1,1.1,2.8,7.8,3.2,74.2,25.7,0.69,30.3,15.2,129,91,2.6,2.4,109,6,156,12.7
Sion,Top,194,19.9,9.7,33.3,51,33.4,1.3,2.2,5.8,3.3,57.6,18.5,0.72,8.8,7.2,-205,-77,-6,7.3,311,17.9,212.9,19
Sion,Middle,36,3.7,9.7,33.3,41.7,33.2,1.7,2.6,5.7,2.8,62.4,20.4,0.75,5.6,8.3,-66,-151,-3.7,7.8,306,18.8,213.3,19.1
Sivir,ADC,117,12,4.8,16.8,46.2,34.4,3.1,1.7,4.5,4.4,69.8,14.6,0.66,17.1,4.3,-158,-28,-2.8,10.7,524,30.4,315.1,28.5
Skarner,Jungle,37,3.8,2.1,5.8,62.2,34.6,1.2,2.4,7.7,3.7,66.2,20.6,0.73,29.7,2.7,-109,-64,-1.9,4.8,144,8.3,182,15.5
Sona,ADC,13,1.3,0.5,1.9,61.5,29.4,1.8,2,7.3,4.5,80.8,18.2,0.76,15.4,23.1,-1022,-676,-69.1,4.4,341,22.2,220.1,20.1
