CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP,DTH%,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Qiyana,Jungle,15,0.09,0.36,0.54,0.40,34.2,2.4,3.5,5.1,2.2,0.58,0.24,0.81,0.00,0.00,-286,-445,-13.5,5,237,0.15,159.3,0.15
Quinn,Top,2,0.01,0.02,0.03,0.50,35.3,2,2,1.5,1.8,0.23,0.24,0.67,0.00,0.00,278,253,12,9.7,414,0.22,285.5,0.25
Rakan,Support,44,0.27,0.11,0.38,0.59,34.3,0.8,2.1,8,4.3,0.73,0.19,0.67,0.09,0.09,-39,-125,-0.8,1.1,118,0.07,102.1,0.09
Rek'Sai,Jungle,36,0.22,0.10,0.32,0.44,34.3,2.4,2.6,4.9,2.8,0.67,0.23,0.65,0.31,0.08,222,209,2.4,5.3,235,0.14,186.5,0.18
Renekton,Top,19,0.11,0.17,0.30,0.68,35.5,2.1,1.9,5.4,3.8,0.55,0.19,0.67,0.00,0.16,20,0,3,8,292,0.17,234.1,0.22
Renekton,Middle,2,0.01,0.17,0.30,0.00,28,1.5,5.5,3,0.8,0.82,0.30,0.86,1.00,0.00,497,177,5.5,7.6,273,0.22,199.5,0.23
Rengar,Top,1,0.01,0.00,0.01,1.00,29.2,3,3,7,3.3,0.56,0.38,0.89,1.00,0.00,624,854,7,7.1,394,0.20,262.2,0.22
Riven,Top,1,0.01,0.04,0.04,1.00,38.5,8,0,5,13,0.62,0.00,0.75,0.00,0.00,269,-628,-5,9.3,511,0.24,336.5,0.28
Rumble,Top,7,0.04,0.52,0.73,0.43,40.3,2.4,2.4,5.6,3.3,0.58,0.21,0.63,0.14,0.00,210,36,0.8,7.1,498,0.26,215.5,0.21
Rumble,Middle,26,0.16,0.52,0.73,0.42,32.5,3.2,1.9,5.3,4.4,0.74,0.15,0.74,0.08,0.08,43,7,-0.8,8.2,444,0.28,234.2,0.23
Rumble,Support,2,0.01,0.52,0.73,1.00,39.7,2,2,8.5,5.3,0.58,0.13,0.83,0.50,0.50,155,239,-1,1,330,0.13,109.6,0.09
Ryze,Top,1,0.01,0.08,0.21,1.00,31.7,7,2,2,4.5,0.75,0.13,0.85,0.00,1.00,172,743,31,10.8,836,0.50,375.6,0.34
Ryze,Middle,20,0.12,0.08,0.21,0.35,35.6,2.9,3,4.9,2.6,0.64,0.20,0.77,0.15,0.15,-259,-134,0.6,10.1,436,0.26,299.9,0.28
Sejuani,Jungle,10,0.06,0.01,0.07,0.70,31,1.4,1.5,5.7,4.7,0.65,0.25,0.55,0.60,0.00,8,-92,-1.5,5.1,173,0.11,180.7,0.16
Senna,ADC,52,0.31,0.12,0.44,0.50,34.9,3.6,1.5,6.6,6.7,0.81,0.14,0.66,0.21,0.04,-93,28,0.3,8.4,470,0.28,264.3,0.26
Senna,Support,1,0.01,0.12,0.44,0.00,36.3,1,2,3,2,1.00,0.14,0.5,0.00,0.00,89,-264,-6,1.3,280,0.14,95,0.10
Sett,Middle,2,0.01,0.39,0.65,0.50,44.9,6,3,6,4,0.77,0.24,0.62,0.50,0.00,-128,-317,6.5,7.3,458,0.25,252.2,0.26
Sett,Top,39,0.24,0.39,0.65,0.44,33.3,2.2,2.7,3.9,2.2,0.58,0.24,0.66,0.23,0.15,109,115,6,7.6,367,0.23,230.9,0.22
Sett,Jungle,1,0.01,0.39,0.65,1.00,33.6,3,1,6,9,0.69,0.17,0.57,0.00,0.00,-517,146,3,5.2,183,0.14,188.5,0.16
Shen,Support,3,0.02,0.01,0.02,0.67,35.3,1,2.3,8.7,4.1,0.78,0.21,0.66,0.67,0.00,-182,272,4,1.6,103,0.07,113.4,0.11
Singed,Top,1,0.01,0.00,0.01,1.00,29.5,4,2,8,6,0.60,0.20,1.02,0.00,0.00,-316,-347,-9,8.7,499,0.28,318.9,0.24
Sona,ADC,1,0.01,0.00,0.01,0.00,39.2,2,1,11,13,1.00,0.11,0.56,1.00,0.00,-214,-384,-10,7,450,0.30,233,0.23
Sona,Top,1,0.01,0.00,0.01,0.00,29.6,2,4,3,1.3,0.46,0.17,1.12,0.00,0.00,-629,-761,-57,3.1,417,0.28,160.8,0.16
Soraka,Top,9,0.05,0.24,0.31,0.89,35,0.7,1.8,11.9,7.1,0.78,0.20,0.71,0.11,0.11,-266,-166,-4.1,5.1,273,0.14,163.8,0.15
Soraka,Middle,1,0.01,0.24,0.31,1.00,35.7,0,0,15,15,0.83,0.00,0.64,0.00,0.00,-849,-276,-18,5.6,255,0.13,176.1,0.15
Soraka,ADC,1,0.01,0.24,0.31,0.00,24.3,0,3,3,1,1.00,0.27,0.58,1.00,0.00,-794,-768,-19,5.8,205,0.22,136.6,0.16
Swain,Top,1,0.01,0.00,0.01,0.00,42.6,1,6,1,0.3,1.00,0.40,0.4,0.00,0.00,-324,-190,-10,5.3,376,0.27,147.9,0.17
Sylas,Middle,3,0.02,0.01,0.03,0.00,33.1,0.7,4,1.7,0.6,0.35,0.23,0.74,0.00,0.00,-201,-121,-6,5.4,341,0.17,151.1,0.17
Sylas,Top,1,0.01,0.01,0.03,0.00,30.1,1,4,5,1.5,0.86,0.33,0.63,1.00,0.00,-845,-502,-37,5.9,338,0.24,162.6,0.18
Syndra,Middle,18,0.11,0.35,0.48,0.67,35.9,3.1,1.7,4.5,4.4,0.66,0.19,0.58,0.17,0.22,96,-15,3.8,8.8,479,0.28,258.9,0.24
Syndra,ADC,3,0.02,0.35,0.48,0.67,34.1,2.3,1.3,5.7,6,0.53,0.18,0.66,0.00,0.00,84,220,3.7,9.1,361,0.23,263.7,0.22
Tahm Kench,Support,34,0.21,0.11,0.32,0.47,34.6,0.4,2,6.6,3.5,0.63,0.21,0.61,0.06,0.09,-21,64,-0.8,1,106,0.07,88.7,0.08
Taliyah,Middle,3,0.02,0.07,0.13,0.33,42.2,3.7,1.7,8,7,0.80,0.10,0.75,0.33,0.00,-126,-88,-6,6.9,446,0.29,198.3,0.21
Taliyah,Jungle,7,0.04,0.07,0.13,0.43,32.3,2.9,3.4,7.3,3,0.76,0.25,0.84,0.14,0.00,-110,100,-3.3,6.1,438,0.24,184,0.19
Taric,Support,4,0.02,0.00,0.02,0.75,28.3,0,0.5,5.8,11.5,0.92,0.14,0.34,0.50,0.00,27,157,1.5,1.1,56,0.05,103.2,0.09
Thresh,Support,38,0.23,0.19,0.42,0.45,34.4,0.5,2.6,7.4,3,0.72,0.22,0.66,0.32,0.08,57,-1,0.4,1.1,95,0.06,92.7,0.09
Tristana,Middle,3,0.02,0.00,0.02,1.00,38.6,4.7,0.7,3.3,12,0.71,0.13,0.42,0.67,0.00,534,-12,-4.7,9.6,378,0.29,328.3,0.28
Trundle,Jungle,3,0.02,0.00,0.02,0.33,32,1.3,3.7,5.3,1.8,0.80,0.30,0.65,0.67,0.00,263,189,1.7,4.7,184,0.12,156.7,0.16
Tryndamere,Top,1,0.01,0.01,0.01,0.00,24.3,0,2,0,0,0.00,0.18,0.58,0.00,0.00,-9,128,-1,10.5,141,0.15,234.7,0.27
Urgot,Top,1,0.01,0.00,0.01,1.00,29.7,5,3,4,3,0.64,0.21,0.94,0.00,1.00,-1254,-477,-3,8.3,462,0.24,290.8,0.26
Varus,Middle,1,0.01,0.05,0.16,1.00,39.9,8,0,12,20,0.95,0.00,0.93,1.00,0.00,697,553,22,8.3,885,0.41,294.3,0.27
Varus,ADC,17,0.10,0.05,0.16,0.53,31.9,4,1.7,3.9,4.7,0.66,0.16,0.7,0.00,0.00,217,52,2.7,10.2,502,0.28,328,0.30
Vayne,Top,1,0.01,0.00,0.01,0.00,29.2,2,1,0,2,0.50,0.14,0.38,1.00,0.00,-446,-738,-20,7.6,203,0.17,217.6,0.22
Veigar,Middle,2,0.01,0.01,0.02,0.50,28.1,2.5,2,2,2.3,0.50,0.14,0.82,0.00,0.00,-242,-16,-5.5,8.2,409,0.26,242.7,0.23
Vel'koz,Middle,2,0.01,0.00,0.01,0.50,42.2,0.5,1.5,3,2.3,0.47,0.13,0.45,0.50,0.00,29,120,-2,8.1,504,0.31,217.9,0.22
Viktor,Middle,11,0.07,0.01,0.08,0.55,35.8,3.7,2,4.2,4,0.66,0.18,0.64,0.00,0.18,-40,41,2.5,9.3,593,0.32,273.3,0.26
Viktor,Top,1,0.01,0.01,0.08,0.00,39.2,1,5,2,0.6,0.75,0.29,0.54,1.00,0.00,233,174,8,8.1,536,0.34,215.5,0.27
Vladimir,Middle,2,0.01,0.04,0.06,1.00,27.7,4,0.5,7.5,23,0.72,0.09,0.78,0.00,0.00,135,110,4.5,8.5,507,0.29,264.9,0.22
Vladimir,Top,2,0.01,0.04,0.06,0.50,31.9,4,3,4,2.7,0.70,0.26,0.72,-,-,-,-,-,-,-,-,-,-
Xayah,ADC,32,0.19,0.15,0.34,0.56,35.5,3.8,1.7,4.4,4.7,0.70,0.15,0.64,0.09,0.09,-109,24,-3.4,10.2,453,0.27,315.1,0.29
Yasuo,Middle,5,0.03,0.13,0.16,0.20,29.1,1.4,4.4,3.2,1,0.64,0.26,0.83,0.00,0.40,-508,-471,-15,8.4,247,0.20,231.3,0.26
Yuumi,Support,9,0.05,0.10,0.16,0.56,36.3,1.1,1.1,9.7,9.7,0.90,0.10,0.65,0.22,0.00,42,234,-10.2,0.3,313,0.16,93.8,0.09
Zac,Jungle,1,0.01,0.00,0.01,0.00,36.2,0,3,2,0.7,0.67,0.25,0.41,0.00,0.00,-165,-309,-9,5.4,123,0.11,140.1,0.15
Ziggs,Middle,1,0.01,0.00,0.01,1.00,33.5,4,1,5,9,0.82,0.08,0.69,0.00,0.00,341,512,19,10.2,1039,0.44,313.6,0.26
Ziggs,ADC,1,0.01,0.00,0.01,0.00,34.5,1,3,5,2,0.86,0.19,0.67,0.00,0.00,-228,-189,-1,9.7,570,0.37,237.4,0.26
Zilean,Middle,2,0.01,0.01,0.02,0.50,36.2,2,1.5,1.5,2.3,0.47,0.21,0.4,0.00,0.00,-134,27,-8,7.6,301,0.22,167.8,0.19
Zoe,Middle,46,0.28,0.15,0.42,0.54,33.3,2.7,1.6,4.7,4.6,0.68,0.15,0.65,0.15,0.07,93,76,4.4,8,504,0.31,240.2,0.22
